Time[sec], Vias_c[m/s]
0,136.06661
1,136.06661
2,136.06661
3,136.06661
4,136.06661
5,136.06661
6,136.06661
7,136.06661
8,136.06661
9,136.06661
10,136.06661
11,136.06661
12,136.06661
13,136.06661
14,136.06661
15,136.06661
16,136.06661
17,136.06661
18,136.06661
19,136.06661
20,136.06661
21,136.06661
22,136.06661
23,136.06661
24,136.06661
25,136.06661
26,136.06661
27,136.06661
28,136.06661
29,136.06661
30,136.06661
31,136.06661
32,136.06661
33,136.06661
34,136.06661
35,136.06661
36,136.06661
37,136.06661
38,136.06661
39,136.06661
40,136.06661
41,136.06661
42,136.06661
43,136.06661
44,136.06661
45,136.06661
46,136.06661
47,136.06661
48,136.06661
49,136.06661
50,136.06661
51,136.06661
52,136.06661
53,136.06661
54,136.06661
55,136.06661
56,136.06661
57,136.06661
58,136.06661
59,136.06661
60,136.06661
61,120.6332767
62,120.6332767
63,120.6332767
64,120.6332767
65,120.6332767
66,120.6332767
67,120.6332767
68,120.6332767
69,120.6332767
70,120.6332767
71,120.6332767
72,120.6332767
73,120.6332767
74,120.6332767
75,120.6332767
76,120.6332767
77,120.6332767
78,120.6332767
79,120.6332767
80,120.6332767
81,120.6332767
82,120.6332767
83,120.6332767
84,120.6332767
85,120.6332767
86,120.6332767
87,120.6332767
88,120.6332767
89,120.6332767
90,120.6332767
91,120.6332767
92,120.6332767
93,120.6332767
94,120.6332767
95,120.6332767
96,120.6332767
97,120.6332767
98,120.6332767
99,120.6332767
100,120.6332767
101,120.6332767
102,120.6332767
103,120.6332767
104,120.6332767
105,120.6332767
106,120.6332767
107,120.6332767
108,120.6332767
109,120.6332767
110,120.6332767
111,120.6332767
112,120.6332767
113,120.6332767
114,120.6332767
115,120.6332767
116,120.6332767
117,120.6332767
118,120.6332767
119,120.6332767
120,120.6332767
121,120.6332767
122,120.6332767
123,120.6332767
124,120.6332767
125,120.6332767
126,120.6332767
127,120.6332767
128,120.6332767
129,120.6332767
130,120.6332767
131,120.6332767
132,120.6332767
133,120.6332767
134,120.6332767
135,120.6332767
136,120.6332767
137,120.6332767
138,120.6332767
139,120.6332767
140,120.6332767
141,120.6332767
142,120.6332767
143,120.6332767
144,120.6332767
145,120.6332767
146,120.6332767
147,120.6332767
148,120.6332767
149,120.6332767
150,120.6332767
151,120.6332767
152,120.6332767
153,120.6332767
154,120.6332767
155,120.6332767
156,120.6332767
157,120.6332767
158,120.6332767
159,120.6332767
160,120.6332767
161,120.6332767
162,120.6332767
163,120.6332767
164,120.6332767
165,120.6332767
166,120.6332767
167,120.6332767
168,120.6332767
169,120.6332767
170,120.6332767
171,120.6332767
172,120.6332767
173,120.6332767
174,120.6332767
175,120.6332767
176,120.6332767
177,120.6332767
178,120.6332767
179,120.6332767
180,120.6332767
181,120.6332767
182,120.6332767
183,120.6332767
184,120.6332767
185,120.6332767
186,120.6332767
187,120.6332767
188,120.6332767
189,120.6332767
190,120.6332767
191,120.6332767
192,120.6332767
193,120.6332767
194,120.6332767
195,120.6332767
196,120.6332767
197,120.6332767
198,120.6332767
199,120.6332767
200,120.6332767
201,120.6332767
202,120.6332767
203,120.6332767
204,120.6332767
205,120.6332767
206,120.6332767
207,120.6332767
208,120.6332767
209,120.6332767
210,120.6332767
211,120.6332767
212,120.6332767
213,120.6332767
214,120.6332767
215,120.6332767
216,120.6332767
217,120.6332767
218,120.6332767
219,120.6332767
220,120.6332767
221,120.6332767
222,120.6332767
223,120.6332767
224,120.6332767
225,120.6332767
226,120.6332767
227,120.6332767
228,120.6332767
229,120.6332767
230,120.6332767
231,120.6332767
232,120.6332767
233,120.6332767
234,120.6332767
235,120.6332767
236,120.6332767
237,120.6332767
238,120.6332767
239,120.6332767
240,120.6332767
241,141.2110545
242,141.2110545
243,141.2110545
244,141.2110545
245,141.2110545
246,141.2110545
247,141.2110545
248,141.2110545
249,141.2110545
250,141.2110545
251,141.2110545
252,141.2110545
253,141.2110545
254,141.2110545
255,141.2110545
256,141.2110545
257,141.2110545
258,141.2110545
259,141.2110545
260,141.2110545
261,141.2110545
262,141.2110545
263,141.2110545
264,141.2110545
265,141.2110545
266,141.2110545
267,141.2110545
268,141.2110545
269,141.2110545
270,141.2110545
271,141.2110545
272,141.2110545
273,141.2110545
274,141.2110545
275,141.2110545
276,141.2110545
277,141.2110545
278,141.2110545
279,141.2110545
280,141.2110545
281,141.2110545
282,141.2110545
283,141.2110545
284,141.2110545
285,141.2110545
286,141.2110545
287,141.2110545
288,141.2110545
289,141.2110545
290,141.2110545
291,141.2110545
292,141.2110545
293,141.2110545
294,141.2110545
295,141.2110545
296,141.2110545
297,141.2110545
298,141.2110545
299,141.2110545
300,141.2110545
301,141.2110545
302,141.2110545
303,141.2110545
304,141.2110545
305,141.2110545
306,141.2110545
307,141.2110545
308,141.2110545
309,141.2110545
310,141.2110545
311,141.2110545
312,141.2110545
313,141.2110545
314,141.2110545
315,141.2110545
316,141.2110545
317,141.2110545
318,141.2110545
319,141.2110545
320,141.2110545
321,141.2110545
322,141.2110545
323,141.2110545
324,141.2110545
325,141.2110545
326,141.2110545
327,141.2110545
328,141.2110545
329,141.2110545
330,141.2110545
331,141.2110545
332,141.2110545
333,141.2110545
334,141.2110545
335,141.2110545
336,141.2110545
337,141.2110545
338,141.2110545
339,141.2110545
340,141.2110545
341,141.2110545
342,141.2110545
343,141.2110545
344,141.2110545
345,141.2110545
346,141.2110545
347,141.2110545
348,141.2110545
349,141.2110545
350,141.2110545
351,141.2110545
352,141.2110545
353,141.2110545
354,141.2110545
355,141.2110545
356,141.2110545
357,141.2110545
358,141.2110545
359,141.2110545
360,141.2110545
361,141.2110545
362,141.2110545
363,141.2110545
364,141.2110545
365,141.2110545
366,141.2110545
367,141.2110545
368,141.2110545
369,141.2110545
370,141.2110545
371,141.2110545
372,141.2110545
373,141.2110545
374,141.2110545
375,141.2110545
376,141.2110545
377,141.2110545
378,141.2110545
379,141.2110545
380,141.2110545
381,141.2110545
382,141.2110545
383,141.2110545
384,141.2110545
385,141.2110545
386,141.2110545
387,141.2110545
388,141.2110545
389,141.2110545
390,141.2110545
391,141.2110545
392,141.2110545
393,141.2110545
394,141.2110545
395,141.2110545
396,141.2110545
397,141.2110545
398,141.2110545
399,141.2110545
400,141.2110545
401,141.2110545
402,141.2110545
403,141.2110545
404,141.2110545
405,141.2110545
406,141.2110545
407,141.2110545
408,141.2110545
409,141.2110545
410,141.2110545
411,141.2110545
412,141.2110545
413,141.2110545
414,141.2110545
415,141.2110545
416,141.2110545
417,141.2110545
418,141.2110545
419,141.2110545
420,141.2110545
421,141.2110545
422,141.2110545
423,141.2110545
424,141.2110545
425,141.2110545
426,141.2110545
427,141.2110545
428,141.2110545
429,141.2110545
430,141.2110545
431,141.2110545
432,141.2110545
433,141.2110545
434,141.2110545
435,141.2110545
436,141.2110545
437,141.2110545
438,141.2110545
439,141.2110545
440,141.2110545
441,141.2110545
442,141.2110545
443,141.2110545
444,141.2110545
445,141.2110545
446,141.2110545
447,141.2110545
448,141.2110545
449,141.2110545
450,141.2110545
451,141.2110545
452,141.2110545
453,141.2110545
454,141.2110545
455,141.2110545
456,141.2110545
457,141.2110545
458,141.2110545
459,141.2110545
460,141.2110545
461,141.2110545
462,141.2110545
463,141.2110545
464,141.2110545
465,141.2110545
466,141.2110545
467,141.2110545
468,141.2110545
469,141.2110545
470,141.2110545
471,141.2110545
472,141.2110545
473,141.2110545
474,141.2110545
475,141.2110545
476,141.2110545
477,141.2110545
478,141.2110545
479,141.2110545
480,141.2110545
481,141.2110545
482,141.2110545
483,141.2110545
484,141.2110545
485,141.2110545
486,141.2110545
487,141.2110545
488,141.2110545
489,141.2110545
490,141.2110545
491,141.2110545
492,141.2110545
493,141.2110545
494,141.2110545
495,141.2110545
496,141.2110545
497,141.2110545
498,141.2110545
499,141.2110545
500,141.2110545
501,141.2110545
502,141.2110545
503,141.2110545
504,141.2110545
505,141.2110545
506,141.2110545
507,141.2110545
508,141.2110545
509,141.2110545
510,141.2110545
511,141.2110545
512,141.2110545
513,141.2110545
514,141.2110545
515,141.2110545
516,141.2110545
517,141.2110545
518,141.2110545
519,141.2110545
520,141.2110545
521,141.2110545
522,141.3220463
523,141.4886001
524,141.6550686
525,141.8214312
526,141.9876878
527,142.1538508
528,142.3199399
529,142.4863268
530,142.6569749
531,142.8275979
532,142.9982015
533,143.1687988
534,143.3394086
535,143.5100533
536,143.6807575
537,143.8515447
538,144.0224374
539,144.121148
540,144.1211695
541,144.121191
542,144.1212124
543,144.1212339
544,144.1212554
545,144.1212769
546,144.1212985
547,144.12132
548,144.1213416
549,144.1213631
550,144.1213847
551,144.1214063
552,144.1214279
553,144.1214495
554,144.1214711
555,144.1214927
556,144.1215143
557,144.1215359
558,144.1215575
559,144.121579
560,144.1216006
561,144.1216222
562,144.1216437
563,144.1216652
564,144.1216868
565,144.1217083
566,144.1217298
567,144.1217513
568,144.1217728
569,144.1217942
570,144.1218157
571,144.1218371
572,144.1218586
573,144.1218801
574,144.1219015
575,144.1219229
576,144.1219442
577,144.1219655
578,144.1219868
579,144.122008
580,144.1220291
581,144.1220503
582,144.1220713
583,144.1220924
584,144.1221133
585,144.1221343
586,144.1221552
587,144.1221761
588,144.1221969
589,144.1222178
590,144.1222386
591,144.1222593
592,144.1222801
593,144.1223008
594,144.1223215
595,144.1223421
596,144.1223628
597,144.1223834
598,144.1224034
599,144.1224212
600,144.1224389
601,144.1224567
602,144.1224744
603,144.1224921
604,144.1225098
605,144.1225275
606,144.1225451
607,144.1225627
608,144.1225803
609,144.1225979
610,144.1226155
611,144.122633
612,144.1226505
613,144.1226681
614,144.1226856
615,144.122703
616,144.1227205
617,144.1227379
618,144.1227554
619,144.1227728
620,144.1227902
621,144.1228076
622,144.1228249
623,144.1228423
624,144.1228596
625,144.1228769
626,144.1228942
627,144.1229115
628,144.1229288
629,144.122946
630,144.1229632
631,144.1229805
632,144.1229977
633,144.1230148
634,144.123032
635,144.1230492
636,144.1230663
637,144.1230834
638,144.1231006
639,144.1231177
640,144.1231347
641,144.1231518
642,144.1231689
643,144.1231859
644,144.1232029
645,144.1232199
646,144.1232369
647,144.1232539
648,144.1232709
649,144.1232878
650,144.1233047
651,144.1233217
652,144.1233386
653,144.1233555
654,144.1233723
655,144.1233892
656,144.123406
657,144.1234229
658,144.1234397
659,144.1234565
660,144.1234733
661,144.1234901
662,144.1235068
663,144.1235236
664,144.1235403
665,144.123557
666,144.1235737
667,144.1235904
668,144.1236071
669,144.1236237
670,144.1236404
671,144.123657
672,144.1236736
673,144.1236902
674,144.1237068
675,144.1237234
676,144.1237399
677,144.1237565
678,144.123773
679,144.1237895
680,144.123806
681,144.1238225
682,144.123839
683,144.1238555
684,144.1238719
685,144.1238883
686,144.1239047
687,144.1239211
688,144.1239375
689,144.1239539
690,144.1239702
691,144.1239866
692,144.1240029
693,144.1240192
694,144.1240355
695,144.1240518
696,144.1240681
697,144.1240843
698,144.1241006
699,144.1241168
700,144.124133
701,144.1241492
702,144.1241654
703,144.1241819
704,144.1241985
705,144.1242151
706,144.1242317
707,144.1242483
708,144.1242648
709,144.1242814
710,144.1242979
711,144.1243143
712,144.1243308
713,144.1243472
714,144.1243637
715,144.1243801
716,144.1243965
717,144.1244128
718,144.1244292
719,144.1244456
720,144.1244619
721,144.1244782
722,144.1244945
723,144.1245108
724,144.1245271
725,144.1245434
726,144.1245597
727,144.1245759
728,144.1245921
729,144.1246084
730,144.1246246
731,144.1246408
732,144.124657
733,144.1246731
734,144.1246893
735,144.1247054
736,144.1247215
737,144.1247376
738,144.1247537
739,144.1247698
740,144.1247859
741,144.1248019
742,144.124818
743,144.124834
744,144.12485
745,144.124866
746,144.1248819
747,144.1248979
748,144.1249138
749,144.1249298
750,144.1249457
751,144.1249616
752,144.1249774
753,144.1249933
754,144.1250091
755,144.125025
756,144.1250408
757,144.1250566
758,144.1250724
759,144.1250881
760,144.1251039
761,144.1251196
762,144.1251354
763,144.1251511
764,144.1251667
765,144.1251824
766,144.1251981
767,144.1252137
768,144.1252293
769,144.125245
770,144.1252606
771,144.1252761
772,144.1252917
773,144.1253072
774,144.1253228
775,144.1253383
776,144.1253538
777,144.1253693
778,144.1253847
779,144.1254002
780,144.1254156
781,144.125431
782,144.1254464
783,144.1254618
784,144.1254772
785,144.1254926
786,144.1255079
787,144.1255232
788,144.1255385
789,144.1255538
790,144.1255691
791,144.1255844
792,144.1255996
793,144.1256149
794,144.1256301
795,144.1256453
796,144.1256605
797,144.1256756
798,144.1256908
799,144.1257059
800,144.125721
801,144.1257361
802,144.1257512
803,144.1257663
804,144.1257814
805,144.1257964
806,144.1258114
807,144.1258264
808,144.1258414
809,144.1258564
810,144.1258714
811,144.1258863
812,144.1259013
813,144.1259162
814,144.1259311
815,144.125946
816,144.1259608
817,144.1259757
818,144.1259905
819,144.1260054
820,144.1260202
821,144.126035
822,144.1260497
823,144.1260645
824,144.1260792
825,144.126094
826,144.1261087
827,144.1261234
828,144.1261381
829,144.1261527
830,144.1261674
831,144.126182
832,144.1261967
833,144.1262113
834,144.1262258
835,144.1262404
836,144.126255
837,144.1262695
838,144.1262841
839,144.1262986
840,144.1263131
841,144.1263276
842,144.126342
843,144.1263565
844,144.1263709
845,144.1263853
846,144.1263997
847,144.1264141
848,144.1264285
849,144.1264429
850,144.1264572
851,144.1264715
852,144.1264858
853,144.1265001
854,144.1265144
855,144.1265287
856,144.1265429
857,144.1265572
858,144.1265714
859,144.1265856
860,144.1265998
861,144.126614
862,144.1266281
863,144.1266423
864,144.1266564
865,144.1266705
866,144.1266846
867,144.1266987
868,144.1267128
869,144.1267268
870,144.1267409
871,144.1267549
872,144.1267689
873,144.1267829
874,144.1267969
875,144.1268108
876,144.1268248
877,144.1268387
878,144.1268526
879,144.1268666
880,144.1268804
881,144.1268943
882,144.1269082
883,144.126922
884,144.1269358
885,144.1269497
886,144.1269635
887,144.1269772
888,144.126991
889,144.1270048
890,144.1270185
891,144.1270322
892,144.1270459
893,144.1270596
894,144.1270733
895,144.127087
896,144.1271006
897,144.1271142
898,144.1271279
899,144.1271415
900,144.1271551
901,144.1271686
902,144.1271822
903,144.1271957
904,144.1272093
905,144.1272228
906,144.1272363
907,144.1272498
908,144.1272632
909,144.1272767
910,144.1272901
911,144.1273036
912,144.127317
913,144.1273304
914,144.1273437
915,144.1273571
916,144.1273705
917,144.1273838
918,144.1273971
919,144.1274104
920,144.1274237
921,144.127437
922,144.1274503
923,144.1274635
924,144.1274768
925,144.12749
926,144.1275032
927,144.1275164
928,144.1275296
929,144.1275427
930,144.1275559
931,144.127569
932,144.1275821
933,144.1275952
934,144.1276083
935,144.1276214
936,144.1276345
937,144.1276475
938,144.1276605
939,144.1276736
940,144.1276866
941,144.1276995
942,144.1277125
943,144.1277255
944,144.1277384
945,144.1277514
946,144.1277643
947,144.1277772
948,144.1277901
949,144.1278029
950,144.1278158
951,144.1278286
952,144.1278415
953,144.1278543
954,144.1278671
955,144.1278799
956,144.1278927
957,144.1279054
958,144.1279182
959,144.1279309
960,144.1279436
961,144.1279563
962,144.127969
963,144.1279817
964,144.1279943
965,144.128007
966,144.1280196
967,144.1280322
968,144.1280449
969,144.1280574
970,144.12807
971,144.1280826
972,144.1280951
973,144.1281077
974,144.1281202
975,144.1281327
976,144.1281452
977,144.1281577
978,144.1281701
979,144.1281826
980,144.128195
981,144.1282074
982,144.1282199
983,144.1282322
984,144.1282446
985,144.128257
986,144.1282693
987,144.1282817
988,144.128294
989,144.1283063
990,144.1283186
991,144.1283309
992,144.1283432
993,144.1283554
994,144.1283677
995,144.1283799
996,144.1283921
997,144.1284043
998,144.1284165
999,144.1284287
1000,144.1284409
1001,144.128453
1002,144.1284651
1003,144.1284773
1004,144.1284894
1005,144.1285015
1006,144.1285135
1007,144.1285256
1008,144.1285377
1009,144.1285497
1010,144.1285617
1011,144.1285737
1012,144.1285857
1013,144.1285977
1014,144.1286097
1015,144.1286216
1016,144.1286336
1017,144.1286455
1018,144.1286574
1019,144.1286693
1020,144.1286812
1021,144.1286931
1022,144.128705
1023,144.1287168
1024,144.1287286
1025,144.1287405
1026,144.1287523
1027,144.1287641
1028,144.1287759
1029,144.1287876
1030,144.1287994
1031,144.1288111
1032,144.1288229
1033,144.1288346
1034,144.1288463
1035,144.128858
1036,144.1288697
1037,144.1288813
1038,144.128893
1039,144.1289046
1040,144.1289162
1041,144.1289278
1042,144.1289394
1043,144.128951
1044,144.1289626
1045,144.1289742
1046,144.1289857
1047,144.1289972
1048,144.1290088
1049,144.1290203
1050,144.1290318
1051,144.1290432
1052,144.1290547
1053,144.1290662
1054,144.1290776
1055,144.129089
1056,144.1291004
1057,144.1291118
1058,144.1291232
1059,144.1291346
1060,144.129146
1061,144.1291573
1062,144.1291687
1063,144.0516733
1064,143.6825428
1065,143.3134071
1066,142.944254
1067,142.5750559
1068,142.2057811
1069,141.8363975
1070,141.4668695
1071,141.0971631
1072,140.7272777
1073,140.3572356
1074,139.9870711
1075,139.6168238
1076,139.2465345
1077,138.876235
1078,138.5059645
1079,138.1357586
1080,137.7656461
1081,137.3956523
1082,137.0257996
1083,136.6560996
1084,136.286571
1085,135.9172358
1086,135.5481061
1087,135.1791853
1088,134.8104706
1089,134.4419425
1090,134.0736104
1091,133.7054672
1092,133.3375053
1093,132.9697165
1094,132.6020715
1095,132.2345806
1096,131.8672352
1097,131.500026
1098,131.1329386
1099,130.7659479
1100,130.3990631
1101,130.032274
1102,129.6655704
1103,129.2989222
1104,128.932328
1105,128.5657859
1106,128.1992847
1107,127.8328003
1108,127.4663134
1109,127.0998314
1110,126.7333424
1111,126.3668232
1112,126.0002459
1113,125.6336229
1114,125.2669415
1115,124.9001726
1116,124.5332925
1117,124.1663123
1118,123.7992183
1119,123.4319678
1120,123.0645563
1121,122.6969864
1122,122.3292431
1123,121.9612602
1124,121.5930715
1125,121.2246615
1126,120.8559861
1127,120.4870277
1128,120.1177972
1129,119.7482702
1130,119.3783821
1131,119.008168
1132,118.6376102
1133,118.2666328
1134,117.8952624
1135,117.5234902
1136,117.1512468
1137,116.7785366
1138,116.4053628
1139,116.0316568
1140,115.6574117
1141,115.2826373
1142,114.9072588
1143,114.5312708
1144,114.1546837
1145,113.7774078
1146,113.3994553
1147,113.020829
1148,112.6414147
1149,112.2612606
1150,111.8803394
1151,111.4985411
1152,111.1159315
1153,110.7324311
1154,110.3479945
1155,109.9626568
1156,109.5762835
1157,109.1889222
1158,108.8005263
1159,108.4109995
1160,108.0204048
1161,107.628594
1162,107.23561
1163,106.8413938
1164,106.4458586
1165,106.0490653
1166,105.6517215
1167,105.2543546
1168,104.8568838
1169,104.4592955
1170,104.0615485
1171,103.6635861
1172,103.2654067
1173,102.8669108
1174,102.4681349
1175,102.068939
1176,101.6693809
1177,101.2693242
1178,100.8688054
1179,100.4677022
1180,100.0660355
1181,99.66368983
1182,99.26067831
1183,98.85688344
1184,98.45231972
1185,98.04685673
1186,97.64052198
1187,97.23315883
1188,96.82482169
1189,96.41531189
1190,96.00470999
1191,95.59280845
1192,95.1796619
1193,94.76510845
1194,94.34912767
1195,93.93163589
1196,93.51251089
1197,93.09177503
1198,92.66917319
